prehy_time_cat,Prehy_time_h,WC_pct
0,0,5.185387878
0,0,5.522586896
0,0,4.543918919
1,1,16.03203138
1,1,21.17177097
1,1,23.32323669
2,2,23.34934798
2,2,27.84463243
2,2,24.76722533
3,3,35.03233169
3,3,37.87375415
3,3,31.54850438
4,4,40.91430444
4,4,42.04545455
4,4,36.12256924
8,8,52.72395715
8,8,46.66852912
8,8,40.92140921
12,12,54.29026478
12,12,53.8326301
12,12,74.64850615
16,16,69.57969205
16,16,59.75956976
16,16,83.25487559
20,20,78.65380583
20,20,88.53855986
20,20,80.0893243
24,24,69.27270119
24,24,88.43683084
24,24,100.2794597
48,48,86.53932249
48,48,104.5268612
48,48,96.42857143
72,72,100.838667
72,72,92.2605927
72,72,103.9975273
96,96,93.75109094
96,96,93.76268684
96,96,104.2949449
168,168,108.0804578
168,168,97.10531327
168,168,107.82291
Full_turgor,NA,419.4358445
Full_turgor,NA,362.4664879
Full_turgor,NA,299.9446443
Full_turgor,NA,342.4778761
